id,batchID,equinomeID,SNPChip,Year of Birth,sex,Country Reported,Horse Name,Sire,Dam,Month of Birth,Country of Birth,,,,,,,
20140926_RJC001_033,20140926,RJC001_033,SNP70,2013,Female,France,,,,February,Northern Hemisphere,,,,,,,
20140926_RJC001_034,20140926,RJC001_034,SNP70,2013,Female,France,,,,February,Northern Hemisphere,,,,,,,
20140926_SHS001_193,20140926,SHS001_193,SNP70,2006,Female,South Africa,Divine Secret,Labeeb,Ja-Ja,August,South Africa,,,,,,,
20140926_SOD10,20140926,SOD10,SNP70,,,,,,,,,,,,,,,
20140926_VS_3_13,20140926,VS_3_13,SNP70,1989,Female,Australia,Love & Kisses,Mistral Dancer,Charity Belle,August,New Zealand,,,,,,,
20141007_ALR001_003,20141007,ALR001_003,SNP70,,Male,UAE,,,,January,Southern Hemisphere,,,,,,,
20141007_CM29,20141007,CM29,SNP70,,,,,,,,,,,,,,,
20141007_CM61,20141007,CM61,SNP70,,,,,,,,,,,,,,,
20141007_EEO001_001,20141007,EEO001_001,SNP70,2013,Female,Great Britain,,Dark Angel,,March,,,,,,,,
20141007_EEO001_002,20141007,EEO001_002,SNP70,2013,Female,Great Britain,,Showcasing,,March,,,,,,,,
20141007_JSB001_040,20141007,JSB001_040,SNP70,2004,Female,Ireland,Gealltanas,Stravinsky,Colonial Debut,April,USA,,,,,,,
20141007_KWB001_008,20141007,KWB001_008,SNP70,2014,Female,Great Britain,Swing Valley,Lawman,Gaze,April,Great Britain,,,,,,,
20141007_SIF001_119,20141007,SIF001_119,SNP70,2014,Male,USA,Volvanic Island,Lemon Drop Kid,Winner,March,USA,,,,,,,
20141007_SIF001_121,20141007,SIF001_121,SNP70,2014,Female,USA,,Union Rags,Beautiful Daniele,May,USA,,,,,,,
20141007_YOR001_016,20141007,YOR001_016,SNP70,,Male,Great Britain,,,,April,Northern Hemisphere,,,,,,,
20141020_BAR001_021,20141020,BAR001_021,SNP70,2012,Male,Australia,Yum Sing,Congrats,Hennessy Belle,October,Australia,,,,,,,
20141020_GLP001_008,20141020,GLP001_008,SNP70,2012,Male,Australia,,Rothesay,Shes Meaner,October,Australia,,,,,,,
20141020_GLP001_025,20141020,GLP001_025,SNP70,,,,,,,,,,,,,,,
20141020_GLP001_029,20141020,GLP001_029,SNP70,,,,,,,,,,,,,,,
20141020_PFM001_021,20141020,PFM001_021,SNP70,2010,Female,Ireland,Mrs Brewster,Kings Theatre,Bouquet,March,Ireland,,,,,,,
20141020_PKF001_001,20141020,PKF001_001,SNP70,,,,,,,,,,,,,,,
20141020_PKF001_022,20141020,PKF001_022,SNP70,2012,Female,Australia,Lunar Doll,Casino Prince,Devil Moon,August,Australia,,,,,,,
20141020_SHS267,20141020,SHS267,SNP70,,,,,,,,,,,,,,,
20141026_SFI012,20141026,SFI012,SNP70,2011,Female,Ireland,,Intense Focus,Dancing Bandit,January,Ireland,,,,,,,
20141026_SFI047,20141026,SFI047,SNP70,2011,Female,Ireland,,Intense Focus,Cloigin Gorm,April,Ireland,,,,,,,
20141026_SFI068,20141026,SFI068,SNP70,2011,Female,Ireland,,Intense Focus,Farmiga,March,Ireland,,,,,,,
20141026_SFI071,20141026,SFI071,SNP70,,,,,,,,,,,,,,,
20141026_SFI083,20141026,SFI083,SNP70,2011,Male,Ireland,,Whipper,Gaisce,May,Ireland,,,,,,,
20141026_SFI084,20141026,SFI084,SNP70,2011,Male,Ireland,Vocaloid,Heliostatic,Ceirseach,May,Ireland,,,,,,,
20141026_SFI092,20141026,SFI092,SNP70,2011,Male,Ireland,,Teofilo,Tropical Lady,February,Ireland,,,,,,,
20141029_803396,20141029,803396,SNP70,2000,Male,Ireland,Napper Tandy,Spectrum,La Meilleure,March,Ireland,,,,,,,
20141029_CM162,20141029,CM162,SNP70,1997,Female,Ireland,Fulfilling,Red Ransom,Face the Facts,March,Ireland,,,,,,,
20141029_CM177,20141029,CM177,SNP70,1985,Female,Ireland,La Bella Fontana,Lafontaine,Sorbelle,April,Ireland,,,,,,,
20141029_ES006,20141029,ES006,SNP70,2009,Female,Ireland,Aquilla,Teofilo,Dance Troupe,April,Ireland,,,,,,,
20141029_GHS05,20141029,GHS05,SNP70,2004,Female,Ireland,Beech Gardens,Sadlers Wells,Hatton Gardens,February,Great Britain,,,,,,,
20141029_GHS11,20141029,GHS11,SNP70,,Female,Ireland,Accessorize,,,April,Ireland,,,,,,,
20141029_HAN011,20141029,HAN011,SNP70,,Male,France,All by Myself,,,April,France,,,,,,,
20141029_JH003,20141029,JH003,SNP70,,,,,,,,,,,,,,,
20141029_JMO_11_012,20141029,JMO_11_012,SNP70,2008,Male,Ireland,Kayalar,Noverre,Katiykha,April,Ireland,,,,,,,
20141029_JMO_11_077,20141029,JMO_11_077,SNP70,2009,Female,Ireland,Daring Queen,Refuse To Bend,Lorraines Secret,March,Ireland,,,,,,,
20141029_JSB001_697,20141029,JSB001_697,SNP70,2010,Male,Ireland,Pitch n Toss,Teofilo,Darina,April,Ireland,,,,,,,
20141029_JSB101,20141029,JSB101,SNP70,2003,Female,Ireland,Hovering,In The Wings,Orlena,May,Ireland,,,,,,,
20141029_JSB109,20141029,JSB109,SNP70,2004,Female,Ireland,Great Florabunda,Traditionally,Wild Bluebell,January,Ireland,,,,,,,
