id,batchID,equinomeID,SNPChip,Year of Birth,sex,Country Reported,Horse Name,Sire,Dam,Month of Birth,Country of Birth,,,,,,,
20160817_GDN001_1115,20160817,GDN001_1115,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160817_GDN001_1116,20160817,GDN001_1116,SNP670,,Female,Australia,,,,December,Australia,,,,,,,
20160817_GDN001_1117,20160817,GDN001_1117,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1118,20160817,GDN001_1118,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1119,20160817,GDN001_1119,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1120,20160817,GDN001_1120,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1121,20160817,GDN001_1121,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1122,20160817,GDN001_1122,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1123,20160817,GDN001_1123,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160817_GDN001_1124,20160817,GDN001_1124,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1125,20160817,GDN001_1125,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1126,20160817,GDN001_1126,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1127,20160817,GDN001_1127,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1128,20160817,GDN001_1128,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1129,20160817,GDN001_1129,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1130,20160817,GDN001_1130,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1131,20160817,GDN001_1131,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160817_GDN001_1132,20160817,GDN001_1132,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1133,20160817,GDN001_1133,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1134,20160817,GDN001_1134,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1135,20160817,GDN001_1135,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1136,20160817,GDN001_1136,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1137,20160817,GDN001_1137,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1138,20160817,GDN001_1138,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1139,20160817,GDN001_1139,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160817_GDN001_1140,20160817,GDN001_1140,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1141,20160817,GDN001_1141,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160817_GDN001_1142,20160817,GDN001_1142,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1143,20160817,GDN001_1143,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1144,20160817,GDN001_1144,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1145,20160817,GDN001_1145,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1146,20160817,GDN001_1146,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1147,20160817,GDN001_1147,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1148,20160817,GDN001_1148,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1149,20160817,GDN001_1149,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1150,20160817,GDN001_1150,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1151,20160817,GDN001_1151,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1152,20160817,GDN001_1152,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160817_GDN001_1153,20160817,GDN001_1153,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1154,20160817,GDN001_1154,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1155,20160817,GDN001_1155,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160817_GDN001_1156,20160817,GDN001_1156,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1157,20160817,GDN001_1157,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160817_GDN001_1158,20160817,GDN001_1158,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160817_GDN001_1159,20160817,GDN001_1159,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160817_MMR001_021,20160817,MMR001_021,SNP670,2013,Male,Ireland,Captainoftheboyne,Captain Rio,Miss Ailbhe,April,Ireland,,,,,,,
20160817_MMR001_025,20160817,MMR001_025,SNP670,2014,Female,Ireland,Gifted Lady,Bushranger,La Scala,March,Ireland,,,,,,,
20160817_MMR001_030,20160817,MMR001_030,SNP670,2016,Female,Ireland,,Tough As Nails,The Silver Crown,April,Ireland,,,,,,,
20160817_MMR001_031,20160817,MMR001_031,SNP670,2016,Female,Ireland,,Tough As Nails,Love Is The Key,May,Ireland,,,,,,,
20160817_MMR001_032,20160817,MMR001_032,SNP670,2016,Male,Ireland,,Tough As Nails,Miss Ailbhe,April,Ireland,,,,,,,
20160817_MMR001_033,20160817,MMR001_033,SNP670,2016,Male,Ireland,,Tough As Nails,Lucky Beguine,April,Ireland,,,,,,,
20160822_GDN001_1160,20160822,GDN001_1160,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1161,20160822,GDN001_1161,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1162,20160822,GDN001_1162,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1163,20160822,GDN001_1163,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1164,20160822,GDN001_1164,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1165,20160822,GDN001_1165,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1166,20160822,GDN001_1166,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1167,20160822,GDN001_1167,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1168,20160822,GDN001_1168,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1169,20160822,GDN001_1169,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1170,20160822,GDN001_1170,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1171,20160822,GDN001_1171,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1172,20160822,GDN001_1172,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1173,20160822,GDN001_1173,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1174,20160822,GDN001_1174,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1175,20160822,GDN001_1175,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1176,20160822,GDN001_1176,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1177,20160822,GDN001_1177,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1178,20160822,GDN001_1178,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1179,20160822,GDN001_1179,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1180,20160822,GDN001_1180,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1181,20160822,GDN001_1181,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1182,20160822,GDN001_1182,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1183,20160822,GDN001_1183,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1184,20160822,GDN001_1184,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1185,20160822,GDN001_1185,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1186,20160822,GDN001_1186,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1187,20160822,GDN001_1187,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1188,20160822,GDN001_1188,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1189,20160822,GDN001_1189,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1190,20160822,GDN001_1190,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1191,20160822,GDN001_1191,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1192,20160822,GDN001_1192,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1193,20160822,GDN001_1193,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1194,20160822,GDN001_1194,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1195,20160822,GDN001_1195,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1196,20160822,GDN001_1196,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1197,20160822,GDN001_1197,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1198,20160822,GDN001_1198,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1199,20160822,GDN001_1199,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1200,20160822,GDN001_1200,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1201,20160822,GDN001_1201,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1202,20160822,GDN001_1202,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1203,20160822,GDN001_1203,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1204,20160822,GDN001_1204,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1205,20160822,GDN001_1205,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1206,20160822,GDN001_1206,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1207,20160822,GDN001_1207,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1208,20160822,GDN001_1208,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1209,20160822,GDN001_1209,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1210,20160822,GDN001_1210,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1211,20160822,GDN001_1211,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1212,20160822,GDN001_1212,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1213,20160822,GDN001_1213,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1214,20160822,GDN001_1214,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1215,20160822,GDN001_1215,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1216,20160822,GDN001_1216,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1217,20160822,GDN001_1217,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1218,20160822,GDN001_1218,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1219,20160822,GDN001_1219,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1220,20160822,GDN001_1220,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1221,20160822,GDN001_1221,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1222,20160822,GDN001_1222,SNP670,,Female,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1223,20160822,GDN001_1223,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1224,20160822,GDN001_1224,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1225,20160822,GDN001_1225,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1226,20160822,GDN001_1226,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1227,20160822,GDN001_1227,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1228,20160822,GDN001_1228,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1229,20160822,GDN001_1229,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1230,20160822,GDN001_1230,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1231,20160822,GDN001_1231,SNP670,,Female,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1232,20160822,GDN001_1232,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1233,20160822,GDN001_1233,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1234,20160822,GDN001_1234,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1235,20160822,GDN001_1235,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1236,20160822,GDN001_1236,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1237,20160822,GDN001_1237,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1238,20160822,GDN001_1238,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1239,20160822,GDN001_1239,SNP670,,Female,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1240,20160822,GDN001_1240,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160822_GDN001_1241,20160822,GDN001_1241,SNP670,,Male,Australia,,,,October,Australia,,,,,,,
20160822_GDN001_1242,20160822,GDN001_1242,SNP670,,Female,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1243,20160822,GDN001_1243,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1244,20160822,GDN001_1244,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1245,20160822,GDN001_1245,SNP670,,Male,Australia,,,,November,Australia,,,,,,,
20160822_GDN001_1247,20160822,GDN001_1247,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160822_GDN001_1248,20160822,GDN001_1248,SNP670,,Male,Australia,,,,August,Australia,,,,,,,
20160822_MAY001_304,20160822,MAY001_304,SNP670,2014,Female,South Africa,Capitol Hill,Dynasty,Seattle Weekend,October,South Africa,,,,,,,
20160829_DOB001_003,20160829,DOB001_003,SNP670,2013,Male,Australia,Soviet Affair,Sebring,Vertefeuille,September,Australia,,,,,,,
20160829_DOB001_006,20160829,DOB001_006,SNP670,2013,Female,Australia,Johansson,Lope de Vega,Scarlet,November,Australia,,,,,,,
20160829_DOB001_008,20160829,DOB001_008,SNP670,2014,Male,Australia,Exiles,OReilly,Gin Dartre,August,New Zealand,,,,,,,
20160829_DOB001_011,20160829,DOB001_011,SNP670,2013,Male,Australia,Flash Boy,Beneteau,Free  Friday,September,Australia,,,,,,,
20160829_DOB001_014,20160829,DOB001_014,SNP670,2013,Male,Australia,Vapors,Sebring,Rhodamine,October,Australia,,,,,,,
20160829_DOB001_016,20160829,DOB001_016,SNP670,2013,Male,Australia,Zephora,Speed N Power,Madamesta,September,Australia,,,,,,,
20160829_DOB001_018,20160829,DOB001_018,SNP670,2014,Male,Australia,All Too Powerful,Speed N Power,Zedoble,October,Australia,,,,,,,
20160829_MAY001_314,20160829,MAY001_314,SNP670,,,,,,,,,,,,,,,
20160829_MAY001_315,20160829,MAY001_315,SNP670,2014,Male,South Africa,Cool of Heart,Philanthropist,Supercool,October,South Africa,,,,,,,
20160829_MAY001_318,20160829,MAY001_318,SNP670,2014,Male,South Africa,Prado,What a Winter,Parfail,September,South Africa,,,,,,,
20160829_MAY001_319,20160829,MAY001_319,SNP670,2014,Male,South Africa,Talk of the Town,Var,Street wise Talk of the town,September,South Africa,,,,,,,
20160829_MAY001_320,20160829,MAY001_320,SNP670,2014,Male,South Africa,Left Hook,Seventh Rock,Gem Queen,November,South Africa,,,,,,,
20160829_SES001_021,20160829,SES001_021,SNP670,2008,Female,USA,Evil Queen,Hear No Evil,Dutchess dOr,February,USA,,,,,,,
20160829_SES001_022,20160829,SES001_022,SNP670,2012,Female,USA,Lil Lady Big  Purse,Indian Charlie,Calais,February,USA,,,,,,,
20160829_SES001_043,20160829,SES001_043,SNP670,2010,Female,USA,Islamorada,Smart Strike,Cat Cay,April,USA,,,,,,,
20160829_SES001_049,20160829,SES001_049,SNP670,2001,Female,USA,Pick of the pack,Lils Lad,Cat  Attack,March,USA,,,,,,,
20160829_SES001_051,20160829,SES001_051,SNP670,2014,Female,USA,Put Together,Smart Strike,Receipt,May,USA,,,,,,,
20160829_WBD001_013,20160829,WBD001_013,SNP670,2016,Female,Ireland,,War Front,Auld Alliance,March,Ireland,,,,,,,
20160913_BLS001_427,20160913,BLS001_427,SNP670,2015,Female,Ireland,,,,May,Ireland,,,,,,,
20160913_BLS001_428,20160913,BLS001_428,SNP670,2015,Female,Ireland,,,,February,Ireland,,,,,,,
20160913_BLS001_429,20160913,BLS001_429,SNP670,2015,Female,Ireland,,,,March,Ireland,,,,,,,
20160913_BLS001_430,20160913,BLS001_430,SNP670,2015,Male,Ireland,,,,March,Ireland,,,,,,,
20160913_BLS001_431,20160913,BLS001_431,SNP670,2015,Female,Ireland,,,,February,Ireland,,,,,,,
20160913_BLS001_432,20160913,BLS001_432,SNP670,2015,Female,Ireland,,,,March,Ireland,,,,,,,
20160913_BLS001_433,20160913,BLS001_433,SNP670,2015,Male,Ireland,,,,March,Ireland,,,,,,,
20160913_BLS001_434,20160913,BLS001_434,SNP670,2015,Female,Ireland,,,,April,Ireland,,,,,,,
20160913_BLS001_435,20160913,BLS001_435,SNP670,2015,Female,Ireland,,,,May,Ireland,,,,,,,
20160913_BLS001_436,20160913,BLS001_436,SNP670,2015,Female,Ireland,,,,April,Ireland,,,,,,,
20160913_EDS001_001,20160913,EDS001_001,SNP670,2015,Male,Ireland,,Fastnet Rock,Rub a Dub Dub,May,Ireland,,,,,,,
20160913_EHY001_001,20160913,EHY001_001,SNP670,2008,Male,USA,,,,April,USA,,,,,,,
20160913_GDN001_1246,20160913,GDN001_1246,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160913_GDN001_1249,20160913,GDN001_1249,SNP670,,Male,Australia,,,,September,Australia,,,,,,,
20160913_HDU001_001,20160913,HDU001_001,SNP670,2015,Female,Great Britain,,,,March,USA,,,,,,,
20160913_HDU001_002,20160913,HDU001_002,SNP670,2013,Male,Great Britain,,,,April,Ireland,,,,,,,
20160913_MAY001_324,20160913,MAY001_324,SNP670,2014,Male,South Africa,,Philanthropist,Mon Am Misty,August,South Africa,,,,,,,
20160913_MAY001_328,20160913,MAY001_328,SNP670,2014,Male,South Africa,Bad Attitute,Curved Ball,Cool Gold,August,South Africa,,,,,,,
20160913_MAY001_334,20160913,MAY001_334,SNP670,2014,Male,South Africa,,Captain Al,Della Scalla,October,South Africa,,,,,,,
20160913_MAY001_350,20160913,MAY001_350,SNP670,2014,Male,South Africa,Captains Advice,Captain Al,Jet Danza,November,South Africa,,,,,,,
20160913_TAR001_007,20160913,TAR001_007,SNP670,2012,Male,New Zealand,Coincidence,Savabeel,Read My Lips,August,New Zealand,,,,,,,
20160913_WBD001_014,20160913,WBD001_014,SNP670,2016,Female,USA,,Bernardini,Super Espresso,April,USA,,,,,,,
20160913_WKS001_205,20160913,WKS001_205,SNP670,2010,Female,New Zealand,Tiara,OReilly,Royal Lady,November,New Zealand,,,,,,,
20160913_WKS001_210,20160913,WKS001_210,SNP670,2011,Female,New Zealand,Indulge,Pins,Slashing Out,November,New Zealand,,,,,,,
20160913_WKS001_214,20160913,WKS001_214,SNP670,2010,Female,New Zealand,,Volksraad,Rapida,October,New Zealand,,,,,,,
20160928_MAY001_357,20160928,MAY001_357,SNP670,2014,Female,South Africa,Rings and Things,Querari,Ring-Ding,September,South Africa,,,,,,,
20160928_MAY001_379,20160928,MAY001_379,SNP670,2013,Male,South Africa,Marvel,Trippi,Mocha Java,August,South Africa,,,,,,,
20160928_MAY001_381,20160928,MAY001_381,SNP670,2012,Male,South Africa,,More Than Ready,Secret Heart,March,USA,,,,,,,
20160928_SES001_057,20160928,SES001_057,SNP670,2015,Male,USA,,Tapit,Hooh Why,February,USA,,,,,,,
20160928_TAR001_016,20160928,TAR001_016,SNP670,2012,Male,New Zealand,Herschal,Savabeel,Starring,November,New Zealand,,,,,,,
20160928_TAR001_023,20160928,TAR001_023,SNP670,2013,Female,New Zealand,Lady Masako,Iffraaj,Lady Sakura,November,New Zealand,,,,,,,
20160928_TAR001_027,20160928,TAR001_027,SNP670,2013,Male,New Zealand,,Lonhro,Devils Song,September,New Zealand,,,,,,,
20160928_TAR001_032,20160928,TAR001_032,SNP670,2013,Male,New Zealand,,OReilly,Barbara Ann,October,New Zealand,,,,,,,
20160928_TAR001_033,20160928,TAR001_033,SNP670,2013,Male,New Zealand,,OReilly,Ethics,November,New Zealand,,,,,,,
20160928_TAR001_036,20160928,TAR001_036,SNP670,2012,Male,New Zealand,,Per Incanto,Flying Florence,November,New Zealand,,,,,,,
20160928_TAR001_037,20160928,TAR001_037,SNP670,2013,Female,New Zealand,,Redoutes Choice,Scarlett Lady,September,Australia,,,,,,,
20160928_TAR001_039,20160928,TAR001_039,SNP670,2013,Female,New Zealand,SassyNSmart,Smart Missile,Panorama Ridge,September,Australia,,,,,,,
20160928_TAR001_048,20160928,TAR001_048,SNP670,2013,Female,New Zealand,Super Genuis,Alamosa,Ensorcelez,September,New Zealand,,,,,,,
20160928_TAR001_050,20160928,TAR001_050,SNP670,2013,Male,New Zealand,,Alamosa,Fidelitas,September,New Zealand,,,,,,,
20160928_TAR001_051,20160928,TAR001_051,SNP670,2013,Female,New Zealand,,Alamosa,Tad Infinitum,October,New Zealand,,,,,,,
20160928_TAR001_054,20160928,TAR001_054,SNP670,2013,Female,New Zealand,Kiusan,Choisir,Mystic Flight,September,Australia,,,,,,,
20160928_TAR001_062,20160928,TAR001_062,SNP670,2013,Female,New Zealand,Lucy Wyldstyle,Savabeel,Lego,September,New Zealand,,,,,,,
20160928_TAR001_065,20160928,TAR001_065,SNP670,2013,Female,New Zealand,Primrose,Saperavi,Primo Quest,October,New Zealand,,,,,,,
20160928_WCW001_015,20160928,WCW001_015,SNP670,2015,Female,New Zealand,,Echoes of Heaven,Divine Proportion,September,New Zealand,,,,,,,
20161012_GDN001_907,20161012,GDN001_907,SNP670,2015,Male,Ireland,She Spirit Di Su 15,Iffraaj,She Spirit Di Su,January,Ireland,,,,,,,
20161012_GDN001_916,20161012,GDN001_916,SNP670,,Female,Ireland,,,,April,Ireland,,,,,,,
20161012_GDN001_931,20161012,GDN001_931,SNP670,2015,Male,Ireland,Bancroft,New Approach,Baila Me,April,Ireland,,,,,,,
20161012_KWB001_035,20161012,KWB001_035,SNP670,2015,Female,Great Britain,Daytona Beach,Jukebox Jury,Dominante,March,Germany,,,,,,,
20161012_MLH001_005,20161012,MLH001_005,SNP670,2016,Female,Ireland,,Dark Angel,Belle Of The Lodge,March,Ireland,,,,,,,
20161012_OAK001_142,20161012,OAK001_142,SNP670,2014,Female,New Zealand,,Darci Brahma,Seachange,August,New Zealand,,,,,,,
20161012_OAK001_143,20161012,OAK001_143,SNP670,2014,Female,New Zealand,,Darci Brahma,Doneze Girl,October,New Zealand,,,,,,,
20161012_OAK001_144,20161012,OAK001_144,SNP670,2008,Male,New Zealand,Niagara,Encosta de Lago,River Song,September,Australia,,,,,,,
20161012_OAK001_145,20161012,OAK001_145,SNP670,2015,Female,New Zealand,,Darci Brahma,Seachange,September,Australia,,,,,,,
20161012_OAK001_146,20161012,OAK001_146,SNP670,2015,Female,New Zealand,,High Chaparral,Keepa Cruisin,September,New Zealand,,,,,,,
20161012_OAK001_148,20161012,OAK001_148,SNP670,2015,Female,New Zealand,,Darci Brahma,Shipsterns,October,New Zealand,,,,,,,
20161012_OAK001_149,20161012,OAK001_149,SNP670,2015,Male,New Zealand,,Darci Brahma,Surreptitious,August,New Zealand,,,,,,,
20161012_TAR001_068,20161012,TAR001_068,SNP670,2013,Female,New Zealand,Sylvias Special,Minstrel Court,Pinstinct,October,New Zealand,,,,,,,
20161012_TAR001_076,20161012,TAR001_076,SNP670,2011,Male,New Zealand,Cathedral Cove,Zabeel,Thistle Cove,September,New Zealand,,,,,,,
20161012_TAR001_078,20161012,TAR001_078,SNP670,2013,Male,New Zealand,Major Tom,Darci Brahma,SpinNGrin,October,New Zealand,,,,,,,
20161012_TAR001_083,20161012,TAR001_083,SNP670,2013,Male,New Zealand,Ocean Rock,Fastnet Rock,Ocean Pearl,October,Australia,,,,,,,
20161012_TAR001_084,20161012,TAR001_084,SNP670,2013,Male,New Zealand,,Pins,Santangelo,October,New Zealand,,,,,,,
20161012_TAR001_085,20161012,TAR001_085,SNP670,2013,Male,New Zealand,,Red Giant,Celtic Class,October,New Zealand,,,,,,,
20161012_TAR001_088,20161012,TAR001_088,SNP670,2012,Male,New Zealand,Safekeeping,Keeper,Kirin Belle,October,New Zealand,,,,,,,
20161012_TAR001_089,20161012,TAR001_089,SNP670,2013,Male,New Zealand,Foreigner,Savabeel,Pins On Ice,September,New Zealand,,,,,,,
20161012_TAR001_090,20161012,TAR001_090,SNP670,2013,Male,New Zealand,,Shocking,Breaker Dawn,October,New Zealand,,,,,,,
20161012_TAR001_091,20161012,TAR001_091,SNP670,2013,Male,New Zealand,,Showcasing,Vanista Belle,October,New Zealand,,,,,,,
20161101_ENS001_073,20161101,ENS001_073,SNP670,2015,Male,Ireland,,Ravens Pass,,February,Ireland,,,,,,,
20161101_KBG001_001,20161101,KBG001_001,SNP670,2010,Female,Ireland,,,,March,Ireland,,,,,,,
20161101_KTH001_001,20161101,KTH001_001,SNP670,2016,Male,Ireland,,Cape Cross,Allegheny Creek,April,Ireland,,,,,,,
20161101_KTH001_002,20161101,KTH001_002,SNP670,2016,Male,Ireland,,Gale Force Ten,Faanan Aldaar,March,Ireland,,,,,,,
20161101_MEF001_022,20161101,MEF001_022,SNP670,,Female,Great Britain,,,,January,Great Britain,,,,,,,
20161101_MEF001_023,20161101,MEF001_023,SNP670,,Female,Great Britain,,,,March,Great Britain,,,,,,,
20161101_TAR001_100,20161101,TAR001_100,SNP670,2013,Female,New Zealand,,Alamosa,Eclectic Heights,October,New Zealand,,,,,,,
20161101_TAR001_101,20161101,TAR001_101,SNP670,2013,Male,New Zealand,,Charge Forward,Imposed,September,Australia,,,,,,,
20161101_TAR001_104,20161101,TAR001_104,SNP670,2012,Male,New Zealand,Grandeur,OReilly,Grand Echezeaux,October,New Zealand,,,,,,,
20161101_TAR001_109,20161101,TAR001_109,SNP670,2013,Male,New Zealand,Hall of Fame,Savabeel,Around The Clock,August,New Zealand,,,,,,,
20161101_TAR001_110,20161101,TAR001_110,SNP670,2013,Female,New Zealand,Seductive DOro,Medaglia dOro,Seduced,September,Australia,,,,,,,
